Lower Bound,Upper Bound,Average Wind Speed Min (km/h),Average Wind Speed Avg (km/h),Average Wind Speed Max (km/h),Average Wind Speed Diff (km/h),Average Wind Heading (degrees),Median Wind Speed Min (km/h),Median Wind Speed Avg (km/h),Median Wind Speed Max (km/h),Median Wind Speed Diff (km/h),Median Wind Heading (degrees),Standard Deviation Wind Speed Min (km/h),Standard Deviation Wind Speed Avg (km/h),Standard Deviation Wind Speed Max (km/h),Standard Deviation Wind Speed Diff (km/h),Standard Deviation Wind Heading (degrees)
425,475,8.608173076923077,14.295673076923077,21.103365384615383,12.495192307692308,224.1346153846154,8.75,14.5,21.0,12.0,225.0,2.6701251795764027,3.2211686851062122,4.792744640139537,3.9035676937076076,11.270984909115466
475,525,10.082236842105264,15.838815789473685,22.57894736842105,12.49671052631579,223.51973684210526,10.0,15.5,22.0,12.375,225.0,2.4699487706882834,2.7648700835567963,3.651531762223398,2.751512741824223,11.226290806101446
525,575,10.655172413793103,16.620689655172413,23.637931034482758,12.982758620689655,225.0,10.5,16.5,23.0,13.25,225.0,2.477950796077931,2.313219665677014,2.9120947042468357,2.299971888883682,10.415476122441204
575,625,10.5,15.821428571428571,23.178571428571427,12.678571428571429,218.57142857142858,11.0,17.0,25.5,13.0,225.0,5.182100603680584,6.1453137391333374,7.428428341112784,3.809840016638619,17.008401285415225
625,675,6.9375,14.5625,22.625,15.6875,213.75,6.625,14.25,24.0,16.75,213.75,5.8536847369840475,7.1716310325243775,7.487489565935968,4.9133110017583865,12.99038105676658
675,725,10.5,16.0,21.5,11.0,225.0,10.5,16.0,21.5,11.0,225.0,,,,,
725,775,9.5,15.0,25.0,15.5,225.0,9.5,15.0,25.0,15.5,225.0,,,,,
775,825,7.25,15.5,22.0,14.75,225.0,7.25,15.5,22.0,14.75,225.0,,,,,
